Fecha,sst_nino12_proxy
2018-03-17,24.155487
2018-03-18,23.963837
2018-03-19,23.88382
2018-03-20,23.585419
2018-03-21,23.36139
2018-03-22,23.384918
2018-03-23,23.39502
2018-03-24,23.638153
2018-03-25,23.685211
2018-03-26,23.838837
2018-03-27,24.00824
2018-03-28,24.011444
2018-03-29,24.025024
2018-03-30,23.967285
2018-03-31,23.998016
2018-04-01,23.802185
2018-04-02,23.909393
2018-04-03,23.813904
2018-04-04,23.760193
2018-04-05,23.672882
2018-04-06,23.592834
2018-04-07,23.436462
2018-04-08,23.294495
2018-04-09,23.261414
2018-04-10,23.292938
2018-04-11,23.107056
2018-04-12,22.779205
2018-04-13,22.616364
2018-04-14,22.38974
2018-04-15,22.265625
2018-04-16,22.23642
2018-04-17,22.161072
2018-04-18,22.02591
2018-04-19,21.877625
2018-04-20,21.845886
2018-04-21,21.970459
2018-04-22,22.194366
2018-04-23,22.378754
2018-04-24,22.450378
2018-04-25,22.527649
2018-04-26,22.717468
2018-04-27,22.82248
2018-04-28,22.834229
2018-04-29,23.02304
2018-04-30,23.15332
2018-05-01,23.311066
2018-05-02,23.24881
2018-05-03,23.098877
2018-05-04,23.06482
2018-05-05,23.184326
2018-05-06,23.135864
2018-05-07,23.27185
2018-05-08,23.457703
2018-05-09,23.257446
2018-05-10,23.315216
2018-05-11,23.279144
2018-05-12,23.268677
2018-05-13,23.480774
2018-05-14,23.579468
2018-05-15,23.574615
2018-05-16,23.47116
2018-05-17,23.475525
2018-05-18,23.388428
2018-05-19,23.33197
2018-05-20,23.43216
2018-05-21,23.432892
2018-05-22,23.352936
2018-05-23,23.283905
2018-05-24,23.347687
2018-05-25,23.10553
2018-05-26,23.159027
2018-05-27,23.20868
2018-05-28,23.15622
2018-05-29,23.2883
2018-05-30,23.19577
2018-05-31,23.067108
2018-06-01,22.953278
2018-06-02,22.878693
2018-06-03,22.645264
2018-06-04,22.35733
2018-06-05,22.101227
2018-06-06,21.890015
2018-06-07,21.700775
2018-06-08,21.605377
2018-06-09,21.697113
2018-06-10,21.801392
2018-06-11,21.986847
2018-06-12,22.068817
2018-06-13,22.103973
2018-06-14,22.262024
2018-06-15,22.176239
2018-06-16,22.010986
2018-06-17,21.746552
2018-06-18,21.776764
2018-06-19,21.85849
2018-06-20,21.757141
2018-06-21,21.887024
2018-06-22,21.867706
2018-06-23,21.984192
2018-06-24,21.999573
2018-06-25,22.05017
2018-06-26,21.858246
2018-06-27,21.825745
2018-06-28,21.841217
2018-06-29,21.813385
2018-06-30,21.91156
2018-07-01,21.947357
2018-07-02,22.122559
2018-07-03,22.13501
2018-07-04,22.080048
2018-07-05,22.100708
